book_title,book_description,book_rating,book_price,book_authors,book_features,book_cover_url
Seçmə şeirlər (Baba Pünhan),"Azərbaycan satirik şerinin ən sevilən simalarından biri olan Baba Pünhan (1948‒2004) öz yaradıcılığı ilə Q.B.Zakir, S.Ə.Şirvani, M.Ə.Sabir və “Molla Nəsrəddin” ədəbi məktəbinin layiqli davamçısı idi.Yaradıcılığı həm xalq, həm",5,8.79 AZN,Baba Pünhan,Bərk,https://static.insales-cdn.com/images/products/1/1270/777086198/medium_Baba_Punhan_qapaq.jpg
Bir gəncin manifesti,Kasıb kəndli qadın Sona öz oğlanları Mərdan və Baharla birlikdəo zamankı Azərbaycan insanının ümumiləşmiş obrazıdır.Azadlıq və istiqlal uğrunda mübarizə başlayanda hər üç qəhrəmanınxarakteri açılmağa başlayır.,5,9.59 AZN,Mir Cəlal Paşayev,Yumşaq,https://static.insales-cdn.com/images/products/1/2414/777095534/medium_BIR_GENCIN_MANIFESTI_qapaq.jpg
Urfin Cyus və onun oduncaq əsgərləri,A.Volkovun “Urfin Cyus və onun oduncaq əsgərləri” nağıl-povesti onun “Zümrüd şəhərinin sehrbazı” əsərinin davamıdır. Uşaqların nəfəs çəkmədən oxuyacağı bu macəra əsərdə zalım xarrat Urfin Cyus oduncaq əsgərlər,5,5.59 AZN,Aleksandr Volkov,Yumşaq,https://static.insales-cdn.com/images/products/1/5098/777114602/medium_URFIN_CYUS_qapaq.jpg
Oxuya bilirəm 1,,5,4.39 AZN,,Yumşaq,https://static.insales-cdn.com/images/products/1/1075/771916851/medium_OXUYA_BILIREM_1_qapaq_.jpg
Qədim yazı,"Kitaba Çjuan Szı, Viktor Hüqo, Frans Kafka, İvan Bunin, Ernest Heminquey, Corc Oruell, Orxan Vəli, Nazim Hikmət, Qabriel Qarsiya Markes, Um­berto Eko, Doris Lessinq, Eva",5,6.40 AZN,,Yumşaq,https://static.insales-cdn.com/images/products/1/194/771932354/medium_QEDIM_YAZI_qapaq.jpg
Spinozayla 90 dəqiqə,Yəhudi əsilli holland filosof Spinoza yeni dövr fəlsəfəsinin ən görkəmli nümayəndələrindəndir. Rasionalist və panteist filosof möhtəşəm bir metafizik sistem yaradıb. Onun fəlsəfəsi Tanrının mövcudluğunu mümkün,5,3.59 AZN,Pol Stretern,Yumşaq,https://static.insales-cdn.com/images/products/1/5499/776107387/medium_2023-10-25-12-29-531698222593.png
Hecaları bilirəm,,5,4.39 AZN,,Yumşaq,https://static.insales-cdn.com/images/products/1/6324/776116404/medium_HECALARI_BILIREM_qapaq_.jpg
"İslamda nə var, nə yox","Bu kitab İslam dini ilə bağlı bəzi mübahisəli məsələlərinelmi izahına həsr olunmuşdur.Kitab teoloqlar, din xadimləri və dindar oxucular üçünnəzərdə tutulmuşdur.",5,11.99 AZN,Sərdar Cəlaloğlu,Yumşaq,https://static.insales-cdn.com/images/products/1/4295/776138951/medium_ISLAMDA_NE_VAR_NE_YOX_qapaq.jpg
Bir stəkan hava,"“Bir stəkan hava” – Bəzən insanları elə həddə gətiribçıxarırlar ki, onlar havanı nəfəs kimi almırlar,stəkana doldurub su kimi içirlər – bir stəkan havadoldurub su kimi",5,3.99 AZN,Seyran Səxavət,Yumşaq,https://static.insales-cdn.com/images/products/1/483/768836067/medium_BIR_STEKAN_HAVA_qapaq.jpg
Səviyyəsiz hekayələr,"Seymur Baycanın “Səviyyəsiz hekayələr”inin başlıca xüsusiyyəti sosial həyat, təbiət və insan münasibətlərinin realist, ifrat minimalizm üslubunda qələmə alınmasıdır. Kitabdakı hekayələr oxucuya həddən ziyadə lakonik dillə, adi detallarla həyatın tərs üzünü",5,4.79 AZN,Seymur Baycan,Yumşaq,https://static.insales-cdn.com/images/products/1/286/771375390/medium_SEVIYYESIZ_HEKAYELER_qapaq.jpg
Seçmə şeirlər (Məhəmməd Hadi),"Məhəmməd Hadi XX əsr romantizminin ən məşhur simalarından biridir. O, Vətən və hürriyyət mövzusundakı şeirləri ilə daha çox tanınır. “Qanun” nəşriyyatının yeni layihəsi olan “Azərbaycan",5,8.79 AZN,Məhəmməd Hadi,Bərk,https://static.insales-cdn.com/images/products/1/7834/771407514/medium_MEHEMMED_HADI_qapaq.jpg
Seçmə şeirlər (Nəbi Xəzri),“Qanun” nəşriyyatının “Azərbaycan poeziyası seçmə şeirlər” adlı yeni layihəsində bu dəfə Xalq şairiNəbi Xəzri yaradıcılığından incilər təqdim edirik. Kitab şairin oğlu Arzu Babayevin seçdiyi şeirlərəsasında tərtib olunub.,5,9.59 AZN,Nəbi Xəzri,Bərk,https://static.insales-cdn.com/images/products/1/8159/771416031/medium_NEBI_XEZRI_qapaq.jpg
Müqəddəs Avqustinlə 90 dəqiqə,Böyük ilahiyyatçı Müqəddəs Avqustin xristian kilsəsinin müqəddəs atasıdır. Onun təlimi bir neçə yüzillik ərzində Qərb xristian kilsəsinin ideologiyasının əsasını təşkil edib. Avqustin IV-V əsrlərdə yaşayıb. Şimali Afrikanın Taqasta,5,2.79 AZN,Pol Stretern,Yumşaq,https://static.insales-cdn.com/images/products/1/884/771425140/medium_MUQEDDES_AVQUSTINLE_90_DEQIQE_qapaq.jpg
Buddizm,"Dünya dinlərindən biri olan Buddizmə müasir dövrdə bir çox ölkələrdə, xüsusilə inkişaf etmiş ölkələrdə maraq dayanmadan artır. Bu marağın nəticəsidir ki, hazırda bu dinin ardıcıllarının sayı 1 milyardı",5,3.59 AZN,,Yumşaq,https://static.insales-cdn.com/images/products/1/1456/771442096/medium_BUDDIZM_90_DEQIQELER_qapaq.jpg
"Pozitiv düşün, pozitiv yaşa",SİZ özünüzün ən yaxşı versiyanız olun! Özünüzü həqiqətən sevməyi necə öyrənə bilərsiniz? Mənfi emosiyaları müsbətə necə çevirmək olar? Əbədi xoşbəxtlik tapmaq mümkündürmü? Bu kitabda instagramda,5,11.99 AZN,Veks Kinq,Yumşaq,https://static.insales-cdn.com/images/products/1/2854/762432294/medium_PHOTO-2023-10-04-12-58-59.jpg
Martin İden (Eksklüziv klassika),Cek Londonun yarı avtobioqrafik romanı ,5,9.59 AZN,Cek London,Yumşaq,https://static.insales-cdn.com/images/products/1/3256/760728760/medium_MARTIN_IDEN_qapaq.jpg
