book_title,book_description,book_rating,book_price,book_authors,book_features,book_cover_url
Dəniz torpaqlarının cadugəri,“Dəniz Torpaqlarının cadugəri” 1968-ci ildən yazmağa başladığı “Dəniz Torpaqları” silsiləsindən olan ilk romanıdır. Əsərin qəhrəmanı anadangəlmə sehrli gücə malik oğlandır. Qəhrəmanın cadugərliyə gedən yolu yeddi,,7.99 AZN,Ursula Le Guin,Yumşaq,https://static.insales-cdn.com/images/products/1/5718/337647190/medium_2020-07-08-21-10-381594228238.jpeg
Gülüstani-İrəm,Abbasqulu ağa Bakıxanovun Şirvan və Dağıstanda yaşayan tayfa və xalqların tarixinə həsr etdiyi əsəri. «Gülüstani-İrəm»ə qədər Azərbaycan tarixinə aid yazılmış ümumi bir tarix əsərinə təsadüf edilmir. A.Bakıxanov bu sahədə birinci,,7.99 AZN,Abbasqulu ağa Bakıxanov,Yumşaq,https://static.insales-cdn.com/images/products/1/5852/337647324/medium_Bakixanov_Gulustan_qapaq_Esas.png
Yoldançıxarma sənəti,"“Yoldançıxarma – hakimiyyətin son həddə təcəssümüdür. Onun sehrinə düşənlər və onun qarşısında geri çəkilənlər bunu məcburiyyət qarşısında yox, həvəslə və sevinclə edirlər. Qadınlara kişiləri məftun",,5.99 AZN,Robert Green,Yumşaq,https://static.insales-cdn.com/images/products/1/6569/687667625/medium_2023-04-13-13-00-381681376438.png
Qazanmaq üçün danış,"Dünyanın ən qabaqcıl natiqlərindən və fərdi uğur ekspertlərindən biri kimi Brayan Treysi ideal instruktordur. Qazanmaq üçün Danış kitabında Treysi, oxuculara güclü təqdimat etmək, böyük və",5,8.79 AZN,Brian Tracy,Yumşaq,https://static.insales-cdn.com/images/products/1/2763/333056715/medium_Brayan_Treysi_Qazanmaq_ucun_danish_Esas.png
Görünməz adam,Bu roman insanı görünməz edən bir sıra cihazlar kəşf etmiş ingilis fiziki Qriffinin taleyindən bəhs edir. Özünü görünməz adama çevirən və Kemp adlı alimlə məqsədli,5,7.99 AZN,Herbert George Wells,Yumşaq,https://static.insales-cdn.com/images/products/1/2158/332982382/medium_Herbert_Uels_Gorunmez_Adam_qapaq_ESAS.png
Siçanlar və adamlar,"“Siçanlar və adamlar” povestindəki obrazlar – bir parça torpaq həsrəti ilə yaşayan, bu həsrətlə də ömrünü başa vuran kəslər, yazıçının çox yaxından tanıdığı, dərdlərinə şərik",5,3.99 AZN,John Steinbeck,Yumşaq,https://static.insales-cdn.com/images/products/1/6198/332986422/medium_Steynbek_Sicanlar_ve_adamlar_ESAS.png
Həyat bir macəra!,"Çağdaş türk ədəbiyyatında ədəbi-siyasi memuar janrının yaradıcılarından və parlaq nümayəndələrindən biri kimi tanınan soydaşımız Səməd Ağaoğlu (1909, Bakı – 1983, İstanbul) “Həyat bir macəra!” adlı",,7.99 AZN,Əhməd bəy Ağaoğlu,Yumşaq,https://static.insales-cdn.com/images/products/1/6276/332986500/medium_Semed_Agaoglu_qapaq_Esas.png
Düşərgə,"“Düşərgə” adlı roman-bioqrafiyada Günel Mövlud Qarabağ müharibəsi nəticəsində beş il yaşamağa məcbur olduğu çadır-düşərgə həyatını qələmə alıb. Romanda torpaqlarından, evindən, vərdiş etdiyi həyat",5,17.10 AZN,Günel Mövlud,Yumşaq,https://static.insales-cdn.com/images/products/1/5995/331626347/medium_dusherge_uz.jpg
"Miflər, əfsanələr, rəvayətlər","El ədəbiyyatımızın seçmə incilərini – mif, əsatir, əfsanə və rəvayət kimi yetkin nümunələrini özündə toplayan bu kitabda oxucu müasir həyatımızla səsləşən bir çox cəhətlərlə qarşılaşacaq,",,3.19 AZN,,Yumşaq,https://static.insales-cdn.com/images/products/1/476/330416604/medium_Mifler__Efsaneler_qapaq_Esas.png
Gilə,Yaşanmış hadisələr əsasında qələmə alınmış Gilə povestində İkinci Dünya Müharibəsinə yollanan  bir azərbaycanlı əsgərin əsirlik və mühacirət həyatından bəhs olunur. ,,4.79 AZN,Əli Əkbər,Yumşaq,https://static.insales-cdn.com/images/products/1/394/330563978/medium_Eli_Ekber_qapaq_Esas__1_.png
Antixrist,"Nitsşenin “Antixrist” əsəri xristianlığa xəstəlik, na­cin­sləşmənin əlaməti kimi baxan ilk fəlsəfi işdir. Mülahizələrini güclü dəlil-sübut bazası üzərində qurmuşdu. Antik dövrlərin, qədim yunan və qədim",5,4.39 AZN,Fridrix Nitsşe,Yumşaq,https://static.insales-cdn.com/images/products/1/5464/329659736/medium_Nitshe_Antixrist_2020_ESAS.png
Satış etmək sənəti,"Bu kitabın məqsədi sizə, istədiyiniz qədər pul qazanmaq üçün maneələri aradan qaldırmağı öyrətməkdir. Bütün uğurlu satıcılar satış etməyi yaxşı bacarırlar. Məhsulu təqdim etməyin, müştərinin ehtiyaclarını",5,5.99 AZN,Brian Tracy,Yumşaq,https://static.insales-cdn.com/images/products/1/1001/330154985/medium_Brayan_Treysi_Satish_Seneti.png
"Molli Mun, Mikki Minus və bilik maşını","Balaca Mollinin macəraları davam edir. Bu dəfə o, öz əkiz qardaşının axtarışındadır. Həmişəki kimi sevimli mopsu Petula və dostu Rokki bu macərada da onu yalnız",,8.79 AZN,Corciya Binq,Yumşaq,https://static.insales-cdn.com/images/products/1/1146/330155130/medium_Corcia_Binq_4_qapaq.png
BTS və mən: FANBUK,"Sənə BTS-in iştirakçılarından biri ilə bir gün keçirmək təklif etsəydilər, kimi seçərdin? Bu rəngarəng kitab sənə arzulamaq və sevimli qrupa yaxınlaşmaq xoşbəxtliyi bəxş edəcək! Faktlar,",5,11.19 AZN,,Yumşaq,https://static.insales-cdn.com/images/products/1/6503/329652583/medium_BTS_qapaq_ESAS.png
Monqol imperiyası,"Çingiz Xan tarixin ölməzlərindəndir: özünü ilahi qüvvənin hifz etdiyinə inanan Çingiz, düşmən olan tayfaları birləşdirdi ki, Asiyanın böyük hissəsini tutan imperiya yaratsın. Nəvəsi Kubilay Xanın",5,9.52 AZN,John Man,Yumşaq,https://static.insales-cdn.com/images/products/1/470/329564630/medium_Monqol_Imperiyasi_qapaq.png
Qandi müdrikliyi. Fikir və kəlamları,"Bu kitab, dövrümüzün nüfuzlu ideoloqlarından biri, Hindistan xalqının mənəvi lideri, təkcə öz ölkəsində deyil, bütün dünyada böyük hörmətlə qarşılanan Mahatma Qandinin müdriklik anbarıdır. Elm-mədəniyyət xadimləri,",5,7.99 AZN,Mohandas Gandhi,Yumşaq,https://static.insales-cdn.com/images/products/1/6293/327383189/medium_Qandi_Mudrikliyi_qapaq_Esas.png
Sidd­hart­ha,Hind möv­zu­sun­da olan “Sidd­hart­ha” po­ves­ti Hes­se­nin il­kin ya­ra­dı­cı­lı­ğı­nın ümu­mi­ləş­di­ri­ci­si ro­lun­da çı­xış edir. Əsə­rin güc­lü psi­xo­sim­vo­lik möv­zu­su isə onu ya­zı­çı­nın son­ra­kı iş­lə­ri­lə doğ­ma­laş­dı­rır.  Po­ves­tin qəh­rə­ma­nı mü­qəd­dəs,5,4.39 AZN,Herman Hesse,Yumşaq,https://static.insales-cdn.com/images/products/1/7636/327384532/medium_Herman_Hesse_Sidhatrha_Esas.png
Arıların səssizliyi,“Arıların səssizliyi” kitabında müəllifin 20 illik yaradıcı fəaliyyəti zamanı qələmə aldığı hekayələrdən 20-si seçilərək təqdim edilib. Hekayələr Qarabağ və müharibə insanı üstünlük təşkil etməklə müxtəlif,5,7.99 AZN,Şərif Ağayar,Yumşaq,https://static.insales-cdn.com/images/products/1/4153/327200825/medium_Sherif_Arilarin_sesi_qapaq_Esas.png
Atama məktub,"Atama məktub Frans Kafka tərəfindən 1919-cu ildə atasına yazılmış, ancaq göndərilməmiş məktubdur. Məktub onun vəfatından sonra Maks Brod tərəfindən çap etdirilmişdir. Məktubun mətni Kafkanın şəxsi",5,2.79 AZN,Franz Kafka,Yumşaq,https://static.insales-cdn.com/images/products/1/4363/326750475/medium_Kafka_Atama_Mektub_ESAS.png
Svann yolunda. İtirilmiş zamanın sorağında ( I kitab ),"“Svann yolunda” avtobioqrafik roman olmasa da, Marsel Prust özünün kiçik yaşlı qəhrəmanı ilə birlikdə vaxtaşırı qədim dədə-baba yurdu Kombreyə və oradan da bir-birinə əks iki",,7.99 AZN,Marcel Proust,Yumşaq,https://static.insales-cdn.com/images/products/1/664/326058648/medium_Marsel_Prust_Svan_Esas.png
Füsnkar bağırsaq (Lazımi dəyər verilməyən orqan haqqında hər şey),"Bu kitabda barəsində insanlar arasında danışılması xoş olmayan, çox vaxt kölgədə qalan, amma çox vacib məsələlərə toxunulur: mədə, bağırsaq, həzm, həzm prosesinin gedişatı, həzmin əhval-ruhiyyəmizə",5,7.99 AZN,Giulia Enders,Yumşaq,https://static.insales-cdn.com/images/products/1/3700/325856884/medium_Julia_Ebders_qapaq_Esas_ESAS.png
Möcüzələr dükanı,"«Möcüzələr dükanı»nda həqiqətən, möcüzəli bir aləmə düşürsən. Hər dəqiqə möcüzə. Hər addımda möcüzə... Amadunun bir çox romanlarında olduğu kimi, «Möcüzələr dükanı»nda da ədalətsevər, azadlığa can",,8.79 AZN,Jorge Amado,Yumşaq,https://static.insales-cdn.com/images/products/1/3126/325856310/medium_Jorge_Amado_Mocuzeler_Dukani_Esas.png
Od gəlini,«Od gəlini» əsas etibarilə IX əsrdə baş vermiş tipik tarixi hadisələrə və bu hadisələrin başında duran xalq sərkərdəsi Babəkin ərəb işğalçılarına qarşı müba­rizəsinə həsr edilmişdir.,,3.59 AZN,Cəfər Cabbarlı,Yumşaq,https://static.insales-cdn.com/images/products/1/5365/326022389/medium_Cabbarli_Od_Gelini_qapaq_ESAS.png
Yad,"Camus deyincə, ədəbiyyat sahəsində ilk ağlagələn, onun 1942-ci ildə nəşr olunmuş «Yad» əsəridir. Mövzusu çox sadədir. Əhvalatdakı hər şey çox qısa bir zamanda baş verir.",5,4.79 AZN,Alber Kamü,Yumşaq,https://static.insales-cdn.com/images/products/1/300/324976940/medium_2020-05-21-00-41-411590007301.jpeg
Ləpirçi. Mən yeməli deyiləm.,"Hər kəsin həyatında onu məcrasından çıxaran, axarını tamam dəyişən bir kimsə olur. İstəsən də, istəməsən də...",,10.45 AZN,Rövşən Abdullaoğlu,Yumşaq,https://static.insales-cdn.com/images/products/1/3988/505434004/medium_Men_yemeli_deyilem.jpg
Treysi Bikerin hekayəsi,"İngilis uşaq ədəbiyyatı yazarı. Bir çox mükafatlar laureatı. Onun əsərləri boşanma, övladlığa götürmə, körpələr evində həyat, yaxın adamların psixoloji problemləıri, xəyanət kimi mövzulara toxunur.",5,5.19 AZN,Jaklin Vilson,Yumşaq,https://static.insales-cdn.com/images/products/1/7221/323066933/medium_Jaklin_Vilson_Treysi_Beker.png
Dao de Dzin,Eramızdan əvvəl VI əsrdə yaşamış qədim Çin filosofu Lao Tszı nəsnələrin və onların təzahürləri haqqında müasir çinlilərin belə bugünkü gündə dəqiq anlamaqda çətinlik çəkdikləri “Dao,,7.99 AZN,Lao Tszı,Yumşaq,https://static.insales-cdn.com/images/products/1/2612/320514612/medium_Lao_Dzi_qapaq_Esas.png
Azadlıq ibadəti,"“Azadlıq ibadəti” kitabında mərhum jurnalist Aynur Mirhəsənin bir hekayəsi, esse və məqalələri, reportaj və müsahibələri, araşdırmaları toplanıb.1976-cı il yanvarın 27-də Bakı şəhərində doğulan Aynur Mirhəsən",,7.99 AZN,Aynur Mirhəsən,Yumşaq,https://static.insales-cdn.com/images/products/1/7810/324976258/medium_Hikmet_Aynur_qapaq_Esas.png
İstanbul ulduzu,"Gül İrəpoğlunun yeni əsəri “İstanbul ulduzu” romanında əsrarəngiz bir almazın hekayəsi ətrafında demək olar ki, “bir almazın işığında Osmanlı tarixi” qələmə alınmışdır. Bu elə bir",,5.59 AZN,Gül İrepoğlu,Yumşaq,https://static.insales-cdn.com/images/products/1/6885/323754725/medium_Gul_Irepoglu_qapaq_Esas.png
Armed Mişel,"Özünə gəlib gözünü açanda artıq almanların əlində əsir idi. Həm də ağır yaralanmışdı. Bir anlıq düşündü ki, ömrünün son saatlarını, bəlkə də son dəqiqələrini yaşayır,",4,7.57 AZN,Elxan Elatlı,Yumşaq,https://static.insales-cdn.com/images/products/1/4193/321982561/medium_Elxan-Elatli-Armed-Mishel-on.jpg
Səs və ya qırmızı,Yazar haqqında məlumat: Dövlət İdarəçilik Akademiyasının siyasi idarəetmə fakültəsinə qəbul olunub və hüquqşünaslıq üzrə bakalavr dərəcəsinə yiyələnib. Növbəti iki il ərzində Fransanın l’Université de Bordeaux və,5,9.60 AZN,Şamxal Həsənov,Yumşaq,https://static.insales-cdn.com/images/products/1/357/317694309/medium_Shamxal_qapaq_Esas.png
"A,B,C,D - Paulo Coelho",Görkəmli yazıçı Paulo Coelho bu dəfə uşaqlar üçün danışır... Birlikdə öyrənin!,,2.39 AZN,Paulo Coelho,Yumşaq,https://static.insales-cdn.com/images/products/1/2666/317696618/medium_Qapaq_1_Страница_01.jpg
Sülhün mənası,Görkəmli yazıçı Paulo Coelho bu dəfə uşaqlar üçün danışır... ,,3.99 AZN,Paulo Coelho,Yumşaq,https://static.insales-cdn.com/images/products/1/3474/317697426/medium_Страницы_из_Tales_Esas__1_.jpg
Mavi mələklər,"BMT-nin gizli əməkdaşlarını “mavi mələklər” adlandırırlar. Onların əsl adı heç kimə məlum deyil, hətta özləri belə öz adlarını unudublar. Peşəkar ekspert və analitik – Dronqo",5,7.99 AZN,Çingiz Abdullayev,Bərk,https://static.insales-cdn.com/images/products/1/675/316973731/medium_5b046365effeaa77bfc39228abb0f117.png
Balaca Şahzadə,"Balaca şahzadə — Antuan de Sent-Ekzüperinin ən məşhur əsəri, alleqorik hekayə. İlk dəfə 6 aprel 1943-cü ildə Nyu-Yorkda çap olunub. Kitabda şəkilləri Ekzüperi özü çəkib. Bu illüstrasiyalar kitabın özü qədər",,7.99 AZN,Antuan de Sent-Ekzüperi,Bərk,https://static.insales-cdn.com/images/products/1/1070/316974126/medium_Balaca_shahzade_qapaq_Esas_2.png
İkinci addım. Həqiqətin beş adı,"Amma burada əsas məsələ var. “Gedəcəyiniz ünvan” – siz onu bilirsiniz, ona görə də oraya çata bilirsiniz. Yaxşı, bəs əgər eyni şərait olsa və siz",5,7.99 AZN,Qaraqan,Yumşaq,https://static.insales-cdn.com/images/products/1/1506/316974562/medium_2020-05-07-00-06-371588795597.jpg
Safdil Qreqin Gündəliyi. Səbrin son damlası,"Bu kitabda Qreqin atası ona kömək etməyə çalışır. İdmana, faydalı işlərə yönləndirir. Amma... Qreqin gündəliyini oxusanız, “amma”sını özünüz görəcəksiniz. Gülmək, əylənmək, düşünmək və öyrənmək istəyirsinizsə,",5,11.12 AZN,Jeff Kinney,Bərk,https://static.insales-cdn.com/images/products/1/7203/316980259/medium_2020-05-07-00-38-201588797500.jpg
Üzüklərin hökmdarı,Hobbitlərin yaşadığı kiçik bir kənd. Sehrbaz Qandalf köhnə dostu Bilbo Begginsin 111-ci ad gününə gəlir və onun illər öncə tapdığı üzük haqqında söhbətə başlayır. Bu,5,11.92 AZN,J.R.R. Tolkien,Yumşaq,https://static.insales-cdn.com/images/products/1/7513/316980569/medium_2020-05-07-00-20-131588796413.jpg
Qaraşın,"Uşaqlar üçün nəzərdə tutulmuş sehrli və həyəcanlı bir kitab. “Qaraşın” “Qəhvəyi” əsərinin bir növ davamıdır. Lakin burada hadisələr yeni, daha maraqlı məcrada inkişaf edir. Uşaqların",,7.99 AZN,Håkon Øvreås,Bərk,https://static.insales-cdn.com/images/products/1/8096/316981152/medium_2020-05-07-00-10-511588795851.jpg
Saatlar,"Stenoqrafçı qız divanın arxasından kişi cəsədi aşkar edir… Şeyla Veb ona verilən təlimata əsasən Vilbraham Kresent küçəsi, 19 nömrəli evə daxil olmuşdu. Evə daxil olduqdan",,7.19 AZN,Aqata Kristi,Yumşaq,https://static.insales-cdn.com/images/products/1/221/316309725/medium_Aqata_Kristi_Saatlar.png
Uşağınızı fransız kimi böyüdün,"Körpələriniz gecə yaxşı yatmır, qonaqlıqda, orada-burada dəcəllik edir, yeməyini yemir və həyatınızı cəhənnəmə çevirirlərsə, əmin olun, siz tək deyilsiniz! Körpəsi olan bütün valideynlərin bunu yaşamalı",,8.72 AZN,Pamela Druckerman,Yumşaq,https://static.insales-cdn.com/images/products/1/1923/316311427/medium_Pamela_Drukerman_qapaq_Esas.png
Qəbiristanlıq kitabı,“Qəbiristanlıq kitabı” yeni çağ ədəbiyyatında Neil Gaiman-a məxsus şedevr əsərlərdəndir. Maraqlı süjet xətti ilə seçilir: qəbiristanlıq yaxınlığında yaşayan bir ailəni Cek adlı şəxs öldürür. Yalnız,,7.99 AZN,Neil Gaiman,Yumşaq,https://static.insales-cdn.com/images/products/1/3180/316312684/medium_Neyl_Gaiman_Qebiristanliq_qapaq__1_.png
Nikola Tesla - icadları və elmi ixtiraları,"O, bəşəriyyətə elektrik enerjisi və yüzlərlə faydalı elmi-texniki yenilik bəxş etdi… Bu sirli alim kimdir? Amerika Elmlər Akademiyasının tərtib etdiyi reytinqə görə, bu alim bəşəriyyətin",,3.19 AZN,,Yumşaq,https://static.insales-cdn.com/images/products/1/4646/314683942/medium_2020-04-25-00-43-161587760996.jpg
Vüqar – Alim – On Yeddi,"“Vüqar – Alim – On Yeddi”. Bu ad və ləqəblər romanımın qəhrəmanı olan gənc oğlana məxsusdur. Mənim yazdığım bu roman, aldadılaraq radikal dini cərəyanlara qoşulan,",,8 AZN,Məmmədov İlham,Yumşaq,https://static.insales-cdn.com/images/products/1/6441/314833193/medium_ON_YEDDI_tesdiqli.jpg
İksi tapmaq,Kitabda yazarın son illərdə yazılmış şeirləri toplanmışdır.,,4.79 AZN,Səhər Əhməd,Yumşaq,https://static.insales-cdn.com/images/products/1/2138/314845274/medium_IKSI_TAPMAQ_tesdiqli__1_.jpg
Özümlə təkbətək. Düşüncələr,“Özümlə təkbətək. Düşüncələr” Mark Avrelinin era­­mı­zın II əsrinin 70-ci illərində Dunay ətrafındakı müharibə zamanı yunan dilində qələmə aldığı aforistik fikirlər toplusudur. Əsər antik dövrün axırlarında,,5.59 AZN,Mark Avreli,Yumşaq,https://static.insales-cdn.com/images/products/1/1676/313575052/medium_Mark_Avrelı_qapaq_Esas.png
Avesta (parçalar),"Qədim zamanlarda Şərq dünyasının mədəni və ictimai həyatına böyük təsir göstərmiş cərəyanlardan biri Spitman Zərdüştün yeni dini – məzdyəsna dini olmuşdur. Azərbaycan, İran, Orta Asiya",5,7.99 AZN,,Yumşaq,https://static.insales-cdn.com/images/products/1/4246/313782422/medium_Avesta_qapaq_Esas.png
Məhkəmə,"Zavallı bəşər övladının dərkolunmaz sirli qüvvələr qarşısında acizliyi, həmişə onların qurbanına çevrilməsi Frans Kafkanın “Məhkəmə” (1914) romanının əsas ideyasını təşkil edir....Otuz yaşı tamam olan günü,",5,6.39 AZN,Frans Kafka,Yumşaq,https://static.insales-cdn.com/images/products/1/7729/313785905/medium_Kafka_Mehkeme_qapaq.png
İmperator Nadir şah Əfşar,Bu kitab XVIII yüzildə dünyanın ən azman hökmdarlarından biri və əzəmətli türk Əfşar İmperatorluğunun qurucusu Nadir şah Əfşarın (1688-1747) yaşamından və işlərindən danışır. Çoxsaylı qaynaqların,5,3.99 AZN,Ədalət Tahirzadə,Yumşaq,https://static.insales-cdn.com/images/products/1/1786/311273210/medium_2020-04-22-00-53-381587502418.jpg
Saxta kupon,"Bu kitab böyük rus yazıçısı Lev Tolstoyun, bir cinayətin – saxta kuponlar istehsal etməyin, necə silsilə qanlı cinayət və ölümlərə aparması haqda məşhur povestidir. Bir",,3.59 AZN,Lev Nikolayeviç Tolstoy,Yumşaq,https://static.insales-cdn.com/images/products/1/1876/311265108/medium_2020-04-20-18-15-491587392149.jpg
Demokratiya dərsləri,"Kitabda cəmiyyət idarəçiliyi və onun ayrı-ayrı tərəfləri ilə bağlı demokratiya məsələlərindən bəhs edilir. Topluda müəllifin mühacirətdə yaşadığı dövrdə sözü gedən mövzu ətrafında yazdığı məqalələr, müxtəlif",,10.32 AZN,Ataxan Əbilov,Yumşaq,https://static.insales-cdn.com/images/products/1/5438/311260478/medium_2020-04-20-17-40-441587390044.jpeg
Ruhu qidalandıran toyuq şorbası: 101 ibrətamiz əhvalat,"Uşaq vaxtı xəstələnəndə, nənəniz sizə toyuq şorbası verirdi. Bu gün sizin ruhi qidaya və qayğıya ehtiyacınız var. “Toyuq şorbası”ndan kiçik əhvalatlar sizin mənəvi yaralarınızı sağaldacaq,",5,8.72 AZN,Jack Canfield,Yumşaq,https://static.insales-cdn.com/images/products/1/1984/311257024/medium_2020-03-28-02-11-251585347085.jpg
Möcüzə evi,"Möcüzə görmək üçün nə etmək lazımdır? Sadəcə inanmaq, yoxsa xəyal dünyamızı işə salmaq? 14 yaşlı Jasmin zəngin xəyal dünyasının sayəsində möcüzəli bir hadisə ilə qarşılaşır.",,3.99 AZN,Nigar Mahmud,Yumşaq,https://static.insales-cdn.com/images/products/1/1494/309659094/medium_2020-04-03-01-55-561585864556.jpg
Alisa möcüzələr ölkəsində,"Hər şey qolundakı saatına baxa-baxa harasa tələsən qəribə geyimli dovşanla başladı. Dovşanın arxasınca gedən Alisa bir də gözünü açıb gördü ki, qeyri-adi, fantastik bir diyara",5,3.99 AZN,Lüis Keroll,Yumşaq,https://static.insales-cdn.com/images/products/1/2301/309102845/medium_Alisa_Mocuzeler_Olkesi_2020_Esas.png
Üç bacı,"Anton Çexovun 1899-1901-ci illərdə yazdığı 4 pər­dəli «Üç bacı» dramında müəllif müxtəlif sinif və təbəqələrdən olan ziyalıların ailə mü­nasibətləri, əxlaqı, dünyagörüşü haqqında mü­şa­­hidələrinə, düşün­cə və",,3.99 AZN,Anton Pavloviç Çexov,Yumşaq,https://static.insales-cdn.com/images/products/1/4460/309047660/medium_2020-04-09-14-44-061586429046.jpg
Danışıqlarda hər şeyi razılaşdırmaq olar,"Bu kitabda danışıqların aparılması üzrə dünyanın aparıcı ekspertlərindən biri olan Gavin Kennedy iddia edir ki, danışıqlarda hər şeyi razılaşdırmaq olar. Əgər siz şəraitin əksini sübut",3,11.92 AZN,Gavin Kennedy,Yumşaq,https://static.insales-cdn.com/images/products/1/6983/309041991/medium_2020-04-07-03-00-301586214030.jpg
Niyə ilə başla,Bu kitab sizə nəyi və necə etməli olduğunuzu söyləmək üçün qələmə alınmayıb. Bu kitab digərlərini ilhamlandırmaq və ya ilham alacaqları birini tapmaq istəyənlər üçün qələmə,,7.99 AZN,Simon Sinek,Yumşaq,https://static.insales-cdn.com/images/products/1/3741/309038749/medium_2020-03-19-12-21-091584606069.jpg
YAŞA! Enerji və sağlamlığın 7 tələbi,"Bu kitab təbabət, fiziologiya, psixologiya və olimpiya idmançılarının hazırlığının sirləri sahəsində son kəşflərin sintezidir. Onun müəllifi İshak Pintoseviç dünya səviyyəli keçmiş idmançı, məşqçi, iş adamıdır",5,7.99 AZN,İshak Pintoseviç,Yumşaq,https://static.insales-cdn.com/images/products/1/2454/309029270/medium_2020-03-26-00-19-031585167543.jpg
Qafqaz əsi­ri,A.S.Puşkin öz üsyankar şeirlərinə görə Cə­nuba sürgün ediləndən sonra məş­hur «Cənub poe­ma­ları»nı yazmışdır. Bu sil­si­lə­dən olan poemaların birincisi «Qafqaz əsi­ri»dir. Əsər şairin sürgün illərində öz,5,3.19 AZN,Aleksandr Puşkin,Yumşaq,https://static.insales-cdn.com/images/products/1/4931/307581763/medium_2020-04-07-03-20-551586215255.jpg
Dəmir daban,"Məşhur fizik Kanningemin qızı olan Eviz sosialist Ernest Ever­qardla evlənməklə müasir cəmiyyətin iqtisadi əsaslarını dərindən öyrənərək, fəhlələrin ağır vəziyyətini yüngülləşdirmək üçün əri ilə birlikdə amansız",5,6.39 AZN,Cek London,Yumşaq,https://static.insales-cdn.com/images/products/1/7025/306977649/medium_2019-12-03-00-02-391575316959.jpg
Pələng dərisi geymiş cəngavər,"Böyük gürcü şairi Şota Rustavelinin XII əsrdə qələmə aldığı “Pələng dərisi geymiş cəngavər” (gürc. ვეფხისტყაოსანი) poemasının əsasını, tədqiqatçıların fikrincə, IX əsrdə ya­zıl­mış qədim bulqar, türk",,7.99 AZN,Şota Rustaveli,Yumşaq,https://static.insales-cdn.com/images/products/1/4708/306975332/medium_Shota_Rustaveli_Cengaver_Esas.png
Otaq,“New York Times”ın bestsellerlər siyahısından ardıcıl ola­raq 18 həftə düşməyən “Otaq” romanı dünyanın qırxdan çox dilinə tərcümə olunmuşdur. Əsərdə doğulduğu dörd divar arasından heç,5,10.39 AZN,Emma Donoghue,Yumşaq,https://static.insales-cdn.com/images/products/1/3588/331984388/medium_Emma_Otaq_qapaq.png
Qəzəllər (Əliağa Vahid),"Kitabda Əliağa Vahidin ən məşhur və ən çox sevilən qəzəlləri toplanmışdır. Vahidin qəzəllərində ülvi humanizm, insana, Vətənə, həyata böyük və müqəddəs sevgi tərənnüm olunur. <div",5,7.99 AZN,Əliağa Vahid,Bərk,https://static.insales-cdn.com/images/products/1/2451/304884115/medium_Esas_Eliaga_Vahid_Kapak_2020.png
Utancaq qız,"“Utancaq qız” Dostoyevskinin kiçik həcmli olmasına baxmayaraq, özündə dərin duyğular birləşdirən maraqlı əsərlərindən biridir. Burada məzlum, yetim, azyaşlı bir qızın acınacaqlı həyat hekayəsindən bəhs olunur.",,3.19 AZN,Fyodor Mixayloviç Dostoyevski,Yumşaq,https://static.insales-cdn.com/images/products/1/3612/304483868/medium_2020-03-26-00-08-371585166917.jpg
Milad pudinqinin macərası,"Əsərdə müəllif 6 maraqlı povestə yer verib. Müxtəlif məkanlarda, müxtəlif obrazların yer aldığı bu hekayətlərdə süjet xətləri də müxtəlif olduğu qədər maraqlıdır. Burada oxucunu bir-birindən",5,5.99 AZN,Aqata Kristi,Yumşaq,https://static.insales-cdn.com/images/products/1/51/304218163/medium_Aqata_Kristi_Milad_Puddinq.png
Yaşıl bağın ölüləri,"Bu ictimai-siyasi roman Balaş adlı adi bir şəxsin həyatından bəhs edir. O, Təbriz bazarında satıcı işləsə də gözəl səsə malik olduğu üçün ilk öncə Azərbaycan",,10.39 AZN,Məhəmmədrza Bayrami,Yumşaq,https://static.insales-cdn.com/images/products/1/3340/304213260/medium_Mehemmedrza_Bayrami_qapaq_Esas.png
Gülən adam,"Böyük fransız şairi, yazıçısı və dramaturqu Viktor Hüqonun bütün əsərləri romantizmin şəfəqinə bürünüb. «Gülən adam» romanını Hüqo siyasi düşüncələrinə görə sürgün edildiyi Channel adalarında 15",5,11.92 AZN,Viktor Hüqo,Yumşaq,https://static.insales-cdn.com/images/products/1/3798/304197334/medium_Viktor_Huqo_Gulen_Adam_qapaq_Esas.png
Hərb və sülh (bütün hissələr),Dünya ədəbiyyatında özünəməxsus yeri olan məşhur rus yazıçısı L.N.Tolstoyun 1804-1807 və 1812-1813-cü illər rus-fransız müharibələrinə həsr olunmuş “Hərb və sülh” romanında ədibin bədii dühasının xəlqiliyi,5,12.32 AZN,Lev Nikolayeviç Tolstoy,Yumşaq,https://static.insales-cdn.com/images/products/1/4505/304189849/medium_Lev_Tolstoy_Herb_Ve_Sulh.png
Uşaq və ona qulluq,"Əziz valideynlər! çoxunuzun lazım olduqda həkimə müraciət etmək imkanınız vardır. Həkim uşağınıza bələddir, odur ki, ən yaxşı məsləhəti də sizə ancaq o verə bilər. Bəzən",5,15.99 AZN,Benjamin McLane Spock,Bərk,https://static.insales-cdn.com/images/products/1/5481/304182633/medium_2020-03-28-01-31-061585344666.jpg
